Country, dateMin, DateMax, ICUMax
Portugal,2020-10-21 10:30:45.025014,2020-12-30 11:26:46.892718,564.0
Spain,2020-10-25 05:45:47.526404,2021-01-24 09:22:42.757087,3558.0
United Kingdom,2020-10-10 03:09:42.323513,2020-12-03 08:41:05.369650,2300.0,2020-11-02 15:28:30.950528,2021-02-09 09:35:31.183991
Hungary,2020-10-10 05:33:47.126181,2020-12-29 06:37:49.260700,1019.0
Netherlands,2020-11-10 15:34:55.163980,2021-02-01 11:53:11.773207,850.0
Estonia,2020-11-11 10:47:33.585325,2021-01-30 16:39:45.325181,97.0
Montenegro,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668,0.0,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668
North Macedonia,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668,0.0,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668
Serbia,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668,0.0,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668
Turkey,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668,0.0,2020-08-14 02:24:04.802668,2020-08-14 02:24:04.802668
